"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
356,347717,177,54.969,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4283300,1176,55.694,0,"N/A",599536,184,55.694
357,327802,284,58.385,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4544039,1753,60.559,0,"N/A",605834,298,60.559
358,341052,336,57.971,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4593480,1463,58.178,0,"N/A",601469,206,58.178
359,327726,0,49.172,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3756718,596,50.518,0,"N/A",507378,25,50.518
360,300990,0,46.273,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3588058,0,46.998,0,"N/A",500918,0,46.998
361,349483,306,54.451,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4455841,1390,55.487,0,"N/A",648450,287,54.969
362,388708,445,64.907,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5520029,5136,66.046,0,"N/A",794326,887,66.046
363,385994,416,65.839,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5642791,6716,66.046,0,"N/A",770002,618,65.942
364,448103,528,63.043,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5154045,3857,63.975,0,"N/A",707459,511,63.975
365,428168,477,62.422,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5050532,3864,62.733,0,"N/A",633523,446,62.733
366,415868,480,65.424,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5308036,4150,65.424,0,"N/A",725614,737,65.114
367,464386,560,64.803,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5674735,5383,65.01,0,"N/A",761252,734,65.01
368,421464,478,67.288,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5806266,6518,67.909,0,"N/A",789194,788,67.909
369,409007,456,66.874,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5656177,5245,66.977,0,"N/A",788208,849,66.874
370,426552,498,63.458,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5389829,4391,63.458,0,"N/A",738002,499,63.354
371,362102,348,60.973,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4938300,2755,61.387,0,"N/A",755450,665,60.87
372,412162,446,63.043,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5398293,4757,63.043,0,"N/A",768262,644,62.94
373,385725,441,67.288,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5792798,5608,67.702,0,"N/A",819965,874,67.598
374,353707,295,64.286,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5212878,4894,65.01,0,"N/A",774933,835,65.01
375,392001,442,64.596,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5428405,5024,65.942,0,"N/A",790086,926,65.942
376,439978,511,62.422,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5207869,3673,62.94,0,"N/A",727605,674,62.94
377,438509,463,65.631,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5294443,5000,65.631,0,"N/A",688591,626,65.217
378,314669,0,48.344,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3835865,0,48.965,0,"N/A",507254,0,48.965
379,287360,0,45.652,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3664114,0,46.066,0,"N/A",479483,0,46.066
380,276105,86,50.828,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3558497,625,50.828,0,"N/A",448362,30,50.828
381,162940,0,30.331,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",1881421,0,30.849,0,"N/A",247320,0,30.849
382,156808,0,28.468,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",1970900,0,29.917,0,"N/A",245670,0,29.814
383,16497,0,4.658,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",51490,0,4.658,0,"N/A",14016,0,4.658
